Week,Inicio,Fin,,,,
1,10 enero ,12 enero ,,,,
2,15 enero ,19 enero ,,,,
3,22 enero ,26 enero ,,,,
4,29 enero ,02 febrero ,,,,
5,05 febrero ,09 febrero ,,,,
6,12 febrero ,16 febrero ,,,,
7,19 febrero ,23 febrero ,,,,
8,26 febrero ,01 marzo ,,,,
9,04 marzo ,08 marzo ,,,,
10,11 marzo ,15 marzo ,,,,
11,18 marzo ,22 marzo ,,,,
12,01 abril ,05 abril ,,,,
13,08 abril ,12 abril ,,,,
14,15 abril ,19 abril ,,,,
15,22 abril ,26 abril ,,,,
16,29 abril ,03 mayo ,,,,
17,06 mayo ,10 mayo ,,,,
18,13 mayo ,15 julio ,,,,